index,jobId,company,title,job,region,jobUrl,total_skill,total_skill_literal,reviewCount,average,salary,wlb,culture,possibility,management
322,1177397,(주)버킷플레이스,서비스 기획자,기획,서울,/companies/274319/job_postings/1177397/%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['WEB'],WEB,27,3.0,3.0,3.0,4.0,3.0,3.0
323,1175524,잡플래닛 매칭서비스,대한민국 1등 배달앱 - 배달로봇 dilly 서버 개발자,"DBA(Database Admin.), 시스템엔지니어, 웹개발",서울,/companies/320559/job_postings/1175524/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD-1%EB%93%B1-%EB%B0%B0%EB%8B%AC%EC%95%B1---%EB%B0%B0%EB%8B%AC%EB%A1%9C%EB%B4%87-dilly-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['JIRA', 'Git', 'Spring']",JIRA Git Spring,1,5.0,4.0,2.0,5.0,4.0,5.0
324,1175455,잡플래닛 매칭서비스,국내 1등 배달앱 - 결제서비스 서버개발자,"DBA(Database Admin.), 시스템엔지니어, 웹개발",서울,/companies/320559/job_postings/1175455/%EA%B5%AD%EB%82%B4-1%EB%93%B1-%EB%B0%B0%EB%8B%AC%EC%95%B1----%EA%B2%B0%EC%A0%9C%EC%84%9C%EB%B9%84%EC%8A%A4-%EC%84%9C%EB%B2%84%EA%B0%9C%EB%B0%9C%EC%9E%90-/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spring', 'NoSQL', 'Linux', 'AWS', 'Java', 'Git']",Spring NoSQL Linux AWS Java Git,1,5.0,4.0,2.0,5.0,4.0,5.0
325,1165437,잡플래닛 매칭서비스,국내 대표 핀테크 스타트업 기업 - 데이터 사이언티스트,데이터분석,서울,/companies/320559/job_postings/1165437/%EA%B5%AD%EB%82%B4-%EB%8C%80%ED%91%9C-%ED%95%80%ED%85%8C%ED%81%AC-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-%EA%B8%B0%EC%97%85---%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spark', 'Python', 'Hadoop', 'WEB', 'Kafka', 'Ruby']",Spark Python Hadoop WEB Kafka Ruby,1,5.0,4.0,2.0,5.0,4.0,5.0
329,1176415,(주)뮤즈라이브,[잡플래닛 매칭] UI/UX 디자이너,"모바일앱개발, 소프트웨어엔지니어",서울,/companies/329440/job_postings/1176415/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD-uiux-%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88/%EB%AE%A4%EC%A6%88%EB%9D%BC%EC%9D%B4%EB%B8%8C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['App'],App,1,5.0,4.0,4.0,4.0,4.0,4.0
330,1175467,패스트캠퍼스,[경력] 플랫폼 기획자,"웹개발, 기획, 프로젝트매니저",서울,/companies/309654/job_postings/1175467/%EA%B2%BD%EB%A0%A5-%ED%94%8C%EB%9E%AB%ED%8F%BC-%EA%B8%B0%ED%9A%8D%EC%9E%90/%ED%8C%A8%EC%8A%A4%ED%8A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'HTML', 'CSS', 'App']",WEB HTML CSS App,170,2.0,2.0,1.0,2.0,3.0,2.0
331,1177272,잡플래닛 매칭서비스,국내 1등 배달앱 - 검색서비스 개발,"DBA(Database Admin.), 소프트웨어아키텍트, 웹개발",서울,/companies/320559/job_postings/1177272/%EA%B5%AD%EB%82%B4-1%EB%93%B1-%EB%B0%B0%EB%8B%AC%EC%95%B1---%EA%B2%80%EC%83%89%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B0%9C%EB%B0%9C/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spark', 'Python', 'Hadoop', 'WEB', 'Java', 'App']",Spark Python Hadoop WEB Java App,1,5.0,4.0,2.0,5.0,4.0,5.0
332,1172143,마이리얼트립(주),데이터 분석 매니저,데이터분석,서울,/companies/274257/job_postings/1172143/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EB%A7%A4%EB%8B%88%EC%A0%80/%EB%A7%88%EC%9D%B4%EB%A6%AC%EC%96%BC%ED%8A%B8%EB%A6%BD?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['DB', 'Python', 'App']",DB Python App,104,4.0,3.0,4.0,4.0,3.0,3.0
333,1176364,피엑스디,Data Scientist,데이터분석,서울,/companies/89630/job_postings/1176364/data-scientist---/%ED%94%BC%EC%97%91%EC%8A%A4%EB%94%94?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Python', 'Data']",Python Data,65,4.0,2.0,2.0,4.0,3.0,4.0
334,1177896,코코네(주),글로벌 서비스 개발 (클라이언트),"게임개발, 소프트웨어엔지니어, 웹개발",서울,/companies/95564/job_postings/1177896/%EA%B8%80%EB%A1%9C%EB%B2%8C-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B0%9C%EB%B0%9C-%ED%81%B4%EB%9D%BC%EC%9D%B4%EC%96%B8%ED%8A%B8-/%EC%BD%94%EC%BD%94%EB%84%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['IOS', 'Android', 'App', 'C언어', 'C쁠블', 'Swift']",IOS Android App C언어 C쁠블 Swift,60,2.0,2.0,2.0,2.0,1.0,1.0
